m/z,area,Messung,sccm,Temperatur,Datei
0.2826,668.5118861111173,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.2976,1236.0601666666485,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.317,16.097249999999956,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.3385,702.0596805555687,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.3534,1474.1901694443952,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.3703,1636.7087888888764,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.3874,1504.5264666666017,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.4098,1.4174638888889302,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.4323,1429.6775472222766,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.4491,1505.9523361111642,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.4688,1249.945411111127,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.4897,1226.868658333362,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.5103,35.86522777777858,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.5305,5.410800000000052,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.5539,219.60409999999916,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.5744,1441.875699999861,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.5942,1373.4001555557124,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.6167,44.811299999999854,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.6379,11.588159722222324,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.66,5.755886111111152,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.683,1.8891999999999145,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.7075,6.369140277777751,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.7297,21.306743055555827,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.7519,8.778687500000071,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
0.7756,2.6160375000000093,16.0,160.0,400.0,016_160sccm_TR400_MS.asc
