Centerline T in K;XAlacac3;Mean Residence Time ms
325.2593304;3.72E-04;41.69128012
373.0324844;3.68E-04;40.3969678
431.1808742;3.52E-04;38.8942146
492.7164844;3.21E-04;37.39080031
554.903405;1.94E-04;35.96223173
615.3622613;4.16E-05;34.6608289
666.6860121;4.98E-06;33.62373858
712.1432948;1.03E-06;32.75708677
753.9650526;5.43E-07;32.00280463
818.0822384;2.33E-06;30.92653529
839.7404569;2.91E-07;30.58489513
876.5959276;3.71E-07;30.02897
906.458794;3.61E-07;29.60202334
